function,size,time
mm0,4,1.222e-06
mm0,4,1.04e-06
mm1,4,9.6e-07
mm1,4,8.27e-07
mm2,4,1.36e-06
mm2,4,1.029e-06
mm3,4,7.02e-07
mm3,4,3.34e-07
mm0,8,6.113e-06
mm0,8,5.914e-06
mm1,8,4.828e-06
mm1,8,4.612e-06
mm2,8,6.177e-06
mm2,8,6.04e-06
mm3,8,1.393e-06
mm3,8,1.214e-06
mm0,16,4.5811e-05
mm0,16,4.5561e-05
mm1,16,3.4033e-05
mm1,16,3.3868e-05
mm2,16,4.4411e-05
mm2,16,4.3806e-05
mm3,16,8.61e-06
mm3,16,8.286e-06
mm0,32,0.000405986
mm0,32,0.000574062
mm1,32,0.000260887
mm1,32,0.000199965
mm2,32,0.000181259
mm2,32,0.000181143
mm3,32,8.473e-05
mm3,32,3.2831e-05
mm0,64,0.00166828
mm0,64,0.00164293
mm1,64,0.00116553
mm1,64,0.00120755
mm2,64,0.00175451
mm2,64,0.00160271
mm3,64,0.000348853
mm3,64,0.000358453
mm0,128,0.0129652
mm0,128,0.0136659
mm1,128,0.00928822
mm1,128,0.00929248
mm2,128,0.0127126
mm2,128,0.014105
mm3,128,0.00233958
mm3,128,0.00233802
mm0,256,0.1322
mm0,256,0.150836
mm1,256,0.0941255
mm1,256,0.100296
mm2,256,0.150555
mm2,256,0.172579
mm3,256,0.0399039
mm3,256,0.0334952
mm0,512,2.52397
mm0,512,2.43176
mm1,512,1.34423
mm1,512,1.16959
mm2,512,2.4551
mm2,512,2.35312
mm3,512,0.344187
mm3,512,0.377286
mm0,1024,28.3109
mm0,1024,15.1362
mm1,1024,5.31521
mm1,1024,5.22063
mm2,1024,7.087
mm2,1024,7.26257
mm3,1024,1.37938
mm3,1024,1.37589
mm0,2048,206.144
mm0,2048,206.223
mm1,2048,51.9904
mm1,2048,51.7312
mm2,2048,63.0615
mm2,2048,79.9666
mm3,2048,13.3581
mm3,2048,13.8407
